2017-01-03 14:58:16 GameBoard.<init>()	Hello World!
2017-01-03 14:58:16 QueryProlog.initialise()	consult('prolog/labyrinth.pl') suceeded
2017-01-03 14:58:16 QueryProlog.initialise()	setup(h0/h2). suceeded
2017-01-03 14:58:16 QueryProlog.getBoard()	board(X). suceeded
2017-01-03 14:58:17 GameBoard.setupBoardFromString()	Board created
2017-01-03 14:58:17 QueryProlog.getPlayerPosition()	player(a,_,I/J) suceeded
2017-01-03 14:58:17 QueryProlog.getPlayerPosition()	player(b,_,I/J) suceeded
2017-01-03 14:58:17 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-03 14:58:17 GameBoard.initialise()	[helmet, fairy, gem, map, candle]
2017-01-03 14:58:17 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-03 14:58:17 GameBoard.initialise()	[gold, crown, chest, keys, book]
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-03 14:58:17 GameBoard.<init>()	 player a: 1.0player b:1.0
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	1 1
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	null
2017-01-03 14:58:17 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding helmet
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding fairy
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding gem
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding map
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding candle
2017-01-03 14:58:17 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding gold
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding crown
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding chest
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding keys
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding book
2017-01-03 14:58:17 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	1 1
2017-01-03 14:58:17 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding helmet
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding fairy
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding gem
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding map
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding candle
2017-01-03 14:58:17 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding gold
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding crown
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding chest
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding keys
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	adding book
2017-01-03 14:58:17 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-03 14:58:17 GameBoard.setupTreasurePanel()	1 1
2017-01-03 14:58:17 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-03 14:58:17 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
