2017-01-02 20:07:15 GameBoard.<init>()	Hello World!
2017-01-02 20:07:16 QueryProlog.initialise()	consult('prolog/labyrinth.pl') suceeded
2017-01-02 20:07:16 QueryProlog.initialise()	setup(h0/h0). suceeded
2017-01-02 20:07:16 QueryProlog.getBoard()	board(X). suceeded
2017-01-02 20:07:16 GameBoard.setupBoardFromString()	Board created
2017-01-02 20:07:16 QueryProlog.getPlayerPosition()	player(a,_,I/J) suceeded
2017-01-02 20:07:16 QueryProlog.getPlayerPosition()	player(b,_,I/J) suceeded
2017-01-02 20:07:16 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-02 20:07:16 GameBoard.initialise()	[book, sword, gold, fairy, candle]
2017-01-02 20:07:16 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-02 20:07:16 GameBoard.initialise()	[ring, map, helmet, crown, chest]
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-02 20:07:16 GameBoard.<init>()	 player a: 1.0player b:1.0
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	1 1
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	null
2017-01-02 20:07:16 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding book
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding sword
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding gold
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding fairy
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding candle
2017-01-02 20:07:16 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding ring
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding map
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding helmet
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding crown
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding chest
2017-01-02 20:07:16 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	1 1
2017-01-02 20:07:16 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding book
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding sword
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding gold
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding fairy
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding candle
2017-01-02 20:07:16 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding ring
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding map
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding helmet
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding crown
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	adding chest
2017-01-02 20:07:16 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	1 1
2017-01-02 20:07:16 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	1 1
2017-01-02 20:07:16 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	1 1
2017-01-02 20:07:16 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-02 20:07:16 GameBoard.setupTreasurePanel()	1 1
2017-01-02 20:07:16 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-02 20:07:16 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
