2017-01-04 19:50:59 GameBoard.<init>()	Hello World!
2017-01-04 19:50:59 QueryProlog.initialise()	consult('prolog/labyrinth.pl') suceeded
2017-01-04 19:51:00 QueryProlog.initialise()	setup(h0/h0). suceeded
2017-01-04 19:51:00 QueryProlog.getBoard()	board(X). suceeded
2017-01-04 19:51:00 GameBoard.setupBoardFromString()	Board created
2017-01-04 19:51:00 QueryProlog.getPlayerPosition()	player(a,_,I/J) suceeded
2017-01-04 19:51:00 QueryProlog.getPlayerPosition()	player(b,_,I/J) suceeded
2017-01-04 19:51:00 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-04 19:51:00 GameBoard.initialise()	[gold, fairy, gem, chest, candle]
2017-01-04 19:51:00 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-04 19:51:00 GameBoard.initialise()	[book, crown, sword, ring, map]
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.<init>()	 player a: 1.0player b:1.0
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	null
2017-01-04 19:51:00 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding gold
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding fairy
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding gem
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding chest
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding candle
2017-01-04 19:51:00 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding book
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding crown
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding sword
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding ring
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding map
2017-01-04 19:51:00 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:00 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding gold
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding fairy
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding gem
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding chest
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding candle
2017-01-04 19:51:00 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding book
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding crown
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding sword
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding ring
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	adding map
2017-01-04 19:51:00 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:00 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:00 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:00 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:00 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:00 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:00 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:00 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:00 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:01 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:01 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:01 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:02 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:02 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:02 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:02 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:02 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-04 19:51:02 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 19:51:02 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 19:51:02 GameBoard.setupTreasurePanel()	1 1
2017-01-04 19:51:02 QueryProlog.haveIWon()	have_I_won(a). failed
