2017-01-04 15:55:26 GameBoard.<init>()	Hello World!
2017-01-04 15:55:26 QueryProlog.initialise()	consult('prolog/labyrinth.pl') suceeded
2017-01-04 15:55:26 QueryProlog.initialise()	setup(h0/h3). suceeded
2017-01-04 15:55:26 QueryProlog.getBoard()	board(X). suceeded
2017-01-04 15:55:27 GameBoard.setupBoardFromString()	Board created
2017-01-04 15:55:27 QueryProlog.getPlayerPosition()	player(a,_,I/J) suceeded
2017-01-04 15:55:27 QueryProlog.getPlayerPosition()	player(b,_,I/J) suceeded
2017-01-04 15:55:27 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-04 15:55:27 GameBoard.initialise()	[gem, keys, crown, sword, gold]
2017-01-04 15:55:27 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-04 15:55:27 GameBoard.initialise()	[chest, candle, helmet, ring, book]
2017-01-04 15:55:27 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 15:55:27 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 15:55:27 GameBoard.<init>()	 player a: 1.0player b:1.0
2017-01-04 15:55:27 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-04 15:55:27 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-04 15:55:27 GameBoard.setupTreasurePanel()	1 1
2017-01-04 15:55:27 GameBoard.setupTreasurePanel()	null
2017-01-04 15:55:27 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-04 15:55:27 GameBoard.setupTreasurePanel()	adding gem
2017-01-04 15:55:27 GameBoard.setupTreasurePanel()	adding keys
2017-01-04 15:55:27 GameBoard.setupTreasurePanel()	adding crown
2017-01-04 15:55:27 GameBoard.setupTreasurePanel()	adding sword
2017-01-04 15:55:27 GameBoard.setupTreasurePanel()	adding gold
2017-01-04 15:55:27 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-04 15:55:27 GameBoard.setupTreasurePanel()	adding chest
2017-01-04 15:55:27 GameBoard.setupTreasurePanel()	adding candle
