2017-01-08 13:28:09 GameBoard.<init>()	Hello World!
2017-01-08 13:28:10 QueryProlog.initialise()	consult('prolog/labyrinth.pl') suceeded
2017-01-08 13:28:10 QueryProlog.initialise()	setup(h1/h0). suceeded
2017-01-08 13:28:10 QueryProlog.getBoard()	board(X). suceeded
2017-01-08 13:28:10 GameBoard.setupBoardFromString()	Board created
2017-01-08 13:28:10 QueryProlog.getPlayerPosition()	player(a,_,I/J) suceeded
2017-01-08 13:28:10 QueryProlog.getPlayerPosition()	player(b,_,I/J) suceeded
2017-01-08 13:28:10 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-08 13:28:10 GameBoard.initialise()	[fairy, keys, candle, book, crown]
2017-01-08 13:28:10 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-08 13:28:10 GameBoard.initialise()	[chest, gold, ring, map, sword]
2017-01-08 13:28:10 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-08 13:28:10 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-08 13:28:10 GameBoard.<init>()	 player a: 1.0player b:1.0
2017-01-08 13:28:10 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-08 13:28:10 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	1 1
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	null
2017-01-08 13:28:10 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding fairy
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding keys
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding candle
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding book
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding crown
2017-01-08 13:28:10 QueryProlog.getTreasureList()	get_treasure_list(b,List). suceeded
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding chest
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding gold
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding ring
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding map
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding sword
2017-01-08 13:28:10 AI_Player.update()	------------------------------------------------------------------------------------
2017-01-08 13:28:10 AI_Player.update()	update
2017-01-08 13:28:10 QueryProlog.isGameState()	game_state( a, 1 ) suceeded
2017-01-08 13:28:10 QueryProlog.tryAndMakeMove()	try_and_make_move(a,h1). suceeded
2017-01-08 13:28:10 AI_Player.update()	Search took1ms
2017-01-08 13:28:10 QueryProlog.getBoard()	board(X). suceeded
2017-01-08 13:28:10 AI_Player.update()	----------------------------------------------------------------------
2017-01-08 13:28:10 AI_Player.update()		110,	1010,	111,	1010,	111,	1010,	11
2017-01-08 13:28:10 AI_Player.update()		1010,	110,	1101,	101,	101,	1001,	11
2017-01-08 13:28:10 AI_Player.update()		1110,	110,	1110,	1110,	111,	1001,	1011
2017-01-08 13:28:10 AI_Player.update()		1001,	11,	1100,	1010,	110,	1010,	11
2017-01-08 13:28:10 AI_Player.update()		1110,	1101,	1101,	101,	1011,	11,	1011
2017-01-08 13:28:10 AI_Player.update()		1110,	1010,	11,	1010,	101,	1101,	1100
2017-01-08 13:28:10 AI_Player.update()		1100,	1010,	1101,	1010,	1101,	1100,	1001
2017-01-08 13:28:10 AI_Player.update()	----------------------------------------------------------------------
2017-01-08 13:28:10 GameBoard.recreateBoardFromString()	Board recreated
2017-01-08 13:28:10 QueryProlog.getPlayerPosition()	player(a,_,I/J) suceeded
2017-01-08 13:28:10 QueryProlog.getPlayerPosition()	player(b,_,I/J) suceeded
2017-01-08 13:28:10 QueryProlog.haveIWon()	have_I_won(a). failed
2017-01-08 13:28:10 QueryProlog.getTreasurePositions()	treasure_index(a,Index). suceeded
2017-01-08 13:28:10 QueryProlog.getTreasurePositions()	treasure_index(b,Index). suceeded
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	1 1
2017-01-08 13:28:10 QueryProlog.getTreasureList()	get_treasure_list(a,List). suceeded
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding fairy
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding keys
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding candle
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding book
2017-01-08 13:28:10 GameBoard.setupTreasurePanel()	adding crown
